"Ársfjórðungur";"Sveitarfélag";"Kyn og ríkisfang";Mannfjöldi eftir sveitarfélögum, kyni, ríkisfangi og ársfjórðungum
"2009Á4";"Alls";"Alls";317520
"2009Á4";"Alls";"Karlar";159870
"2009Á4";"Alls";"Konur";157660
"2009Á4";"Alls";"Ísl. ríkisborgarar";295860
"2009Á4";"Alls";"Erl. ríkisborgarar";21660
"2009Á4";"Höfuðborgarsvæðið";"Alls";200800
"2009Á4";"Höfuðborgarsvæðið";"Karlar";99920
"2009Á4";"Höfuðborgarsvæðið";"Konur";100880
"2009Á4";"Höfuðborgarsvæðið";"Ísl. ríkisborgarar";186810
"2009Á4";"Höfuðborgarsvæðið";"Erl. ríkisborgarar";13990
"2009Á4";" Reykjavíkurborg";"Alls";118260
"2009Á4";" Reykjavíkurborg";"Karlar";58640
"2009Á4";" Reykjavíkurborg";"Konur";59610
"2009Á4";" Reykjavíkurborg";"Ísl. ríkisborgarar";108710
"2009Á4";" Reykjavíkurborg";"Erl. ríkisborgarar";9550
"2009Á4";" Kópavogsbær";"Alls";30340
"2009Á4";" Kópavogsbær";"Karlar";15070
"2009Á4";" Kópavogsbær";"Konur";15270
"2009Á4";" Kópavogsbær";"Ísl. ríkisborgarar";28580
"2009Á4";" Kópavogsbær";"Erl. ríkisborgarar";1760
"2009Á4";" Seltjarnarnesbær";"Alls";4390
"2009Á4";" Seltjarnarnesbær";"Karlar";2180
"2009Á4";" Seltjarnarnesbær";"Konur";2210
"2009Á4";" Seltjarnarnesbær";"Ísl. ríkisborgarar";4190
"2009Á4";" Seltjarnarnesbær";"Erl. ríkisborgarar";200
"2009Á4";" Garðabær";"Alls";10640
"2009Á4";" Garðabær";"Karlar";5240
"2009Á4";" Garðabær";"Konur";5410
"2009Á4";" Garðabær";"Ísl. ríkisborgarar";10290
"2009Á4";" Garðabær";"Erl. ríkisborgarar";360
"2009Á4";" Hafnarfjarðarkaupstaður";"Alls";25890
"2009Á4";" Hafnarfjarðarkaupstaður";"Karlar";12970
"2009Á4";" Hafnarfjarðarkaupstaður";"Konur";12920
"2009Á4";" Hafnarfjarðarkaupstaður";"Ísl. ríkisborgarar";24240
"2009Á4";" Hafnarfjarðarkaupstaður";"Erl. ríkisborgarar";1650
"2009Á4";" Sveitarfélagið Álftanes";"Alls";2540
"2009Á4";" Sveitarfélagið Álftanes";"Karlar";1290
"2009Á4";" Sveitarfélagið Álftanes";"Konur";1250
"2009Á4";" Sveitarfélagið Álftanes";"Ísl. ríkisborgarar";2470
"2009Á4";" Sveitarfélagið Álftanes";"Erl. ríkisborgarar";70
"2009Á4";" Mosfellsbær";"Alls";8550
"2009Á4";" Mosfellsbær";"Karlar";4410
"2009Á4";" Mosfellsbær";"Konur";4140
"2009Á4";" Mosfellsbær";"Ísl. ríkisborgarar";8150
"2009Á4";" Mosfellsbær";"Erl. ríkisborgarar";400
"2009Á4";" Kjósarhreppur";"Alls";200
"2009Á4";" Kjósarhreppur";"Karlar";110
"2009Á4";" Kjósarhreppur";"Konur";80
"2009Á4";" Kjósarhreppur";"Ísl. ríkisborgarar";180
"2009Á4";" Kjósarhreppur";"Erl. ríkisborgarar";10
"2009Á4";"Landsbyggðin";"Alls";116720
"2009Á4";"Landsbyggðin";"Karlar";59950
"2009Á4";"Landsbyggðin";"Konur";56770
"2009Á4";"Landsbyggðin";"Ísl. ríkisborgarar";109050
"2009Á4";"Landsbyggðin";"Erl. ríkisborgarar";7670
